,train,val,test
test_048,True,False,False
normal_051,True,False,False
test_051,True,False,False
normal_052,True,False,False
test_052,True,False,False
normal_061,True,False,False
test_061,True,False,False
normal_064,True,False,False
test_064,True,False,False
normal_066,True,False,False
test_066,True,False,False
normal_068,True,False,False
test_068,True,False,False
normal_069,True,False,False
test_069,True,False,False
normal_071,True,False,False
test_071,True,False,False
normal_073,True,False,False
test_073,True,False,False
normal_074,True,False,False
test_074,True,False,False
normal_079,True,False,False
test_079,True,False,False
normal_082,True,False,False
test_082,True,False,False
normal_084,True,False,False
test_084,True,False,False
normal_091,True,False,False
test_090,True,False,False
normal_098,True,False,False
test_097,True,False,False
normal_103,True,False,False
test_102,True,False,False
normal_105,True,False,False
test_104,True,False,False
normal_106,True,False,False
test_105,True,False,False
normal_109,True,False,False
test_108,True,False,False
normal_111,True,False,False
test_110,True,False,False
normal_114,True,False,False
test_113,True,False,False
normal_116,True,False,False
test_116,True,False,False
normal_121,True,False,False
test_121,True,False,False
normal_122,True,False,False
test_122,True,False,False
tumor_001,True,False,False
tumor_003,True,False,False
tumor_004,True,False,False
tumor_005,True,False,False
tumor_006,True,False,False
tumor_007,True,False,False
tumor_008,True,False,False
tumor_009,True,False,False
tumor_010,True,False,False
tumor_011,True,False,False
tumor_013,True,False,False
tumor_015,True,False,False
tumor_016,True,False,False
tumor_017,True,False,False
tumor_018,True,False,False
tumor_019,True,False,False
tumor_020,True,False,False
tumor_021,True,False,False
tumor_022,True,False,False
tumor_023,True,False,False
tumor_024,True,False,False
tumor_025,True,False,False
tumor_026,True,False,False
tumor_027,True,False,False
tumor_029,True,False,False
tumor_030,True,False,False
tumor_031,True,False,False
tumor_032,True,False,False
tumor_034,True,False,False
tumor_035,True,False,False
tumor_037,True,False,False
tumor_040,True,False,False
tumor_041,True,False,False
tumor_042,True,False,False
tumor_043,True,False,False
tumor_044,True,False,False
tumor_045,True,False,False
tumor_047,True,False,False
tumor_048,True,False,False
tumor_051,True,False,False
tumor_052,True,False,False
tumor_053,True,False,False
tumor_054,True,False,False
tumor_055,True,False,False
tumor_056,True,False,False
tumor_059,True,False,False
tumor_060,True,False,False
tumor_061,True,False,False
tumor_062,True,False,False
tumor_063,True,False,False
tumor_064,True,False,False
tumor_065,True,False,False
tumor_067,True,False,False
tumor_068,True,False,False
tumor_069,True,False,False
tumor_070,True,False,False
tumor_071,True,False,False
tumor_072,True,False,False
tumor_073,True,False,False
tumor_074,True,False,False
tumor_075,True,False,False
tumor_076,True,False,False
tumor_077,True,False,False
tumor_078,True,False,False
tumor_079,True,False,False
tumor_080,True,False,False
tumor_081,True,False,False
tumor_082,True,False,False
tumor_083,True,False,False
tumor_084,True,False,False
tumor_085,True,False,False
tumor_086,True,False,False
tumor_087,True,False,False
tumor_088,True,False,False
tumor_089,True,False,False
tumor_090,True,False,False
tumor_091,True,False,False
tumor_092,True,False,False
tumor_094,True,False,False
tumor_095,True,False,False
tumor_096,True,False,False
tumor_097,True,False,False
tumor_100,True,False,False
tumor_101,True,False,False
tumor_102,True,False,False
tumor_103,True,False,False
tumor_104,True,False,False
tumor_106,True,False,False
tumor_107,True,False,False
tumor_109,True,False,False
tumor_111,True,False,False
normal_088,False,True,False
test_087,False,True,False
normal_054,False,True,False
test_054,False,True,False
normal_124,False,True,False
test_125,False,True,False
normal_129,False,True,False
test_130,False,True,False
normal_007,False,True,False
test_007,False,True,False
normal_108,False,True,False
test_107,False,True,False
normal_070,False,True,False
test_070,False,True,False
normal_150,False,True,False
normal_025,False,True,False
test_025,False,True,False
normal_132,False,True,False
normal_022,False,True,False
test_022,False,True,False
tumor_014,False,True,False
tumor_033,False,True,False
normal_065,False,True,False
test_065,False,True,False
normal_029,False,True,False
test_029,False,True,False
normal_013,False,True,False
test_013,False,True,False
normal_021,False,True,False
test_021,False,True,False
tumor_046,False,True,False
tumor_105,False,True,False
tumor_039,False,True,False
tumor_002,False,True,False
tumor_049,False,True,False
tumor_108,False,True,False
normal_093,False,True,False
test_092,False,True,False
normal_100,False,True,False
test_099,False,True,False
normal_075,False,True,False
test_075,False,True,False
normal_008,False,True,False
test_008,False,True,False
normal_035,False,False,True
test_035,False,False,True
normal_059,False,False,True
test_059,False,False,True
normal_014,False,False,True
test_014,False,False,True
normal_153,False,False,True
normal_023,False,False,True
test_023,False,False,True
normal_146,False,False,True
normal_139,False,False,True
normal_005,False,False,True
test_005,False,False,True
normal_115,False,False,True
test_115,False,False,True
normal_123,False,False,True
test_123,False,False,True
normal_101,False,False,True
test_100,False,False,True
tumor_057,False,False,True
tumor_110,False,False,True
tumor_058,False,False,True
normal_046,False,False,True
test_046,False,False,True
tumor_028,False,False,True
normal_040,False,False,True
test_040,False,False,True
tumor_038,False,False,True
tumor_036,False,False,True
tumor_050,False,False,True
tumor_012,False,False,True
normal_095,False,False,True
test_094,False,False,True
tumor_093,False,False,True
tumor_099,False,False,True
tumor_066,False,False,True
tumor_098,False,False,True
normal_117,False,False,True
test_117,False,False,True
